BE_O 1s/8	CPS_O 1s/8	O 1s_1_O 1s/8	O 1s_2_O 1s/8	O 1s_3_O 1s/8	Background_O 1s/8
543.064	7527.24	7526.54	7525.14	7524.89	7524.67
542.964	7403.3	7402.58	7401.16	7400.9	7400.67
542.864	7365.38	7364.64	7363.17	7362.91	7362.67
542.764	7572.79	7572.03	7570.52	7570.25	7570
542.664	7379.54	7378.75	7377.21	7376.92	7376.67
542.564	7458.96	7458.14	7456.56	7456.26	7456
542.464	7521.71	7520.86	7519.24	7518.94	7518.67
542.364	7553.13	7552.25	7550.6	7550.28	7550
542.264	7479.21	7478.31	7476.62	7476.29	7476
542.164	7435.28	7434.36	7432.62	7432.3	7432
542.064	7448.03	7447.09	7445.3	7444.97	7444.67
541.964	7495.45	7494.48	7492.66	7492.32	7492
541.864	7510.21	7509.2	7507.34	7507	7506.67
541.764	7451.65	7450.6	7448.7	7448.34	7448
541.664	7433.1	7432.02	7430.06	7429.69	7429.33
541.564	7371.89	7370.77	7368.75	7368.37	7368
541.464	7487.35	7486.19	7484.1	7483.72	7483.33
541.364	7440.14	7438.95	7436.8	7436.4	7436
541.264	7424.27	7423.03	7420.82	7420.41	7420
541.164	7337.06	7335.78	7333.52	7333.09	7332.67
541.064	7419.19	7417.87	7415.55	7415.1	7414.67
540.964	7539.32	7537.95	7535.58	7535.12	7534.67
540.864	7350.79	7349.37	7346.95	7346.47	7346
540.764	7392.94	7391.46	7388.98	7388.5	7388
540.664	7399.08	7397.54	7395.02	7394.52	7394
540.564	7237.27	7235.67	7233.06	7232.54	7232
540.464	7300.8	7299.14	7296.43	7295.9	7295.33
540.364	7234.32	7232.61	7229.81	7229.24	7228.67
540.264	7261.86	7260.08	7257.19	7256.59	7256
540.164	7301.4	7299.55	7296.57	7295.95	7295.33
540.064	7239.61	7237.68	7234.62	7233.98	7233.33
539.964	7201.16	7199.15	7196	7195.34	7194.67
539.864	7251.38	7249.29	7246.06	7245.37	7244.67
539.764	7202.94	7200.76	7197.45	7196.74	7196
539.664	7273.18	7270.89	7267.51	7266.77	7266
539.564	7251.41	7249.03	7245.57	7244.81	7244
539.464	7203.67	7201.18	7197.64	7196.85	7196
539.364	7278.68	7276.08	7272.38	7271.55	7270.67
539.264	7314.37	7311.64	7307.79	7306.93	7306
539.164	7158.73	7155.88	7151.88	7150.98	7150
539.064	7115.1	7112.11	7107.97	7107.03	7106
538.964	7190.81	7187.67	7183.39	7182.41	7181.33
538.864	7178.34	7175.05	7170.83	7169.8	7168.67
538.764	7204.74	7201.28	7196.93	7195.86	7194.67
538.664	7203.17	7199.53	7195.05	7193.93	7192.67
538.564	7184.96	7181.13	7176.5	7175.33	7174
538.464	7172.77	7168.73	7163.96	7162.74	7161.33
538.364	7175.28	7171.02	7166.1	7164.82	7163.33
538.264	7231.83	7227.33	7222.25	7220.91	7219.33
538.164	7195.74	7190.98	7185.75	7184.34	7182.67
538.064	7206.35	7201.32	7195.92	7194.45	7192.67
537.964	7197.68	7192.34	7186.77	7185.23	7183.33
