e:\onedrive\实验\xps\0119xueq82813\0119xueq82813-merged-region.vms
Zn 2p/9
	Characteristic Energy eV	1486.69	Acquisition Time s	0.4488
KE_Zn 2p/9	BE_Zn 2p/9	CPS_Zn 2p/9	Zn 2p_1_Zn 2p/9	Zn 2p_2_Zn 2p/9	Background_Zn 2p/9	Envelope_Zn 2p/9	Normalised_Residual_Zn 2p/9	Residual_Zn 2p/9
430.492	1056.2	11929.6	11929.7	11930.7	11929.6	11930.8	0	0
430.592	1056.1	11907.3	11907.4	11908.5	11907.3	11908.5	0	0
430.692	1056	11802.6	11802.7	11803.8	11802.6	11803.8	0	0
430.792	1055.9	11945.2	11945.3	11946.4	11945.2	11946.5	0	0
430.892	1055.8	12045.5	12045.5	12046.7	12045.5	12046.8	0	0
430.992	1055.7	11662.2	11662.3	11663.5	11662.2	11663.6	0	0
431.092	1055.6	11867.2	11867.3	11868.5	11867.2	11868.6	0	0
431.192	1055.5	12041	12041.1	12042.3	12041	12042.4	0	0
431.292	1055.4	12036.5	12036.6	12037.9	12036.5	12038	0	0
431.392	1055.3	11880.6	11880.7	11882	11880.6	11882.1	0	0
431.492	1055.2	12116.8	12116.8	12118.2	12116.8	12118.3	0	0
431.592	1055.1	11996.4	11996.5	11998	11996.4	11998.1	0	0
431.692	1055	12085.6	12085.6	12087.1	12085.6	12087.2	0	0
431.792	1054.9	12234.8	12234.9	12236.5	12234.8	12236.6	0	0
431.892	1054.8	12161.3	12161.4	12163	12161.3	12163.1	0	0
431.992	1054.7	12070	12070.1	12071.7	12070	12071.8	0	0
432.092	1054.6	11940.7	11940.8	11942.5	11940.7	11942.6	0	0
432.192	1054.5	11989.8	11989.8	11991.6	11989.8	11991.7	0	0
432.292	1054.4	11907.3	11907.4	11909.2	11907.3	11909.3	0	0
432.392	1054.3	11909.5	11909.6	11911.5	11909.5	11911.6	0	0
432.492	1054.2	11931.8	11931.9	11933.9	11931.8	11933.9	0	0
432.592	1054.1	11693.4	11693.5	11695.5	11693.4	11695.6	0	0
432.692	1054	11711.2	11711.3	11713.4	11711.2	11713.5	0	0
432.792	1053.9	11816	11816	11818.2	11816	11818.3	0	0
432.892	1053.8	11729.1	11729.2	11731.4	11729.1	11731.5	0	0
432.992	1053.7	12000.9	12001	12003.3	12000.9	12003.4	0	0
433.092	1053.6	12049.9	12050	12052.4	12049.9	12052.5	0	0
433.192	1053.5	11662.2	11662.3	11664.8	11662.2	11664.9	0	0
433.292	1053.4	11907.3	11907.4	11910	11907.3	11910.1	0	0
433.392	1053.3	11731.3	11731.4	11734.1	11731.3	11734.2	0	0
433.492	1053.2	11849.4	11849.5	11852.3	11849.4	11852.4	0	0
433.592	1053.1	11470.6	11470.7	11473.6	11470.6	11473.7	0	0
433.692	1053	11561.9	11562	11565.1	11561.9	11565.2	0	0
433.792	1052.9	11771.4	11771.5	11774.6	11771.4	11774.7	0	0
433.892	1052.8	11791.4	11791.6	11794.8	11791.4	11794.9	0	0
433.992	1052.7	11615.4	11615.5	11618.9	11615.4	11619	0	0
434.092	1052.6	11684.5	11684.6	11688.1	11684.5	11688.2	0	0
434.192	1052.5	11624.3	11624.4	11628.1	11624.3	11628.3	0	0
434.292	1052.4	11604.3	11604.4	11608.3	11604.3	11608.4	0	0
434.392	1052.3	11744.7	11744.8	11748.8	11744.7	11748.9	0	0
434.492	1052.2	11533	11533.1	11537.3	11533	11537.4	0	0
434.592	1052.1	11700.1	11700.2	11704.6	11700.1	11704.7	0	0
434.692	1052	11829.3	11829.4	11834	11829.3	11834.1	0	0
434.792	1051.9	11575.3	11575.4	11580.1	11575.3	11580.3	0	0
434.892	1051.8	11383.7	11383.8	11388.8	11383.7	11388.9	0	0
434.992	1051.7	11477.3	11477.4	11482.6	11477.3	11482.8	0	0
435.092	1051.6	11749.1	11749.2	11754.8	11749.1	11754.9	0	0
435.192	1051.5	11383.7	11383.8	11389.6	11383.7	11389.8	0	0
435.292	1051.4	11423.8	11423.9	11429.9	11423.8	11430	0	0
435.392	1051.3	11107.4	11107.5	11113.8	11107.4	11113.9	0	0
435.492	1051.2	11303.5	11303.6	11310.2	11303.5	11310.3	0	0
435.592	1051.1	11749.1	11749.2	11756.1	11749.1	11756.3	0	0
435.692	1051	11446.1	11446.2	11453.5	11446.1	11453.6	0	0
435.792	1050.9	11357	11357.1	11364.7	11357	11364.9	0	0
435.892	1050.8	11573.1	11573.2	11581.3	11573.1	11581.4	0	0
435.992	1050.7	11584.2	11584.4	11592.9	11584.2	11593	0	0
436.092	1050.6	11486.2	11486.3	11495.3	11486.2	11495.5	0	0
436.192	1050.5	11339.1	11339.3	11348.8	11339.1	11348.9	0	0
436.292	1050.4	11178.7	11178.8	11188.9	11178.7	11189.1	0	0
436.392	1050.3	11336.9	11337	11347.7	11336.9	11347.9	0	0
436.492	1050.2	11461.7	11461.8	11473.2	11461.7	11473.3	0	0
436.592	1050.1	11357	11357.1	11369.1	11357	11369.3	0	0
436.692	1050	11495.1	11495.2	11508.1	11495.1	11508.2	0	0
436.792	1049.9	11463.9	11464	11477.7	11463.9	11477.8	0	0
436.892	1049.8	11550.8	11550.9	11565.5	11550.8	11565.7	0	0
436.992	1049.7	11506.2	11506.4	11521.9	11506.2	11522.1	0	0
437.092	1049.6	11860.5	11860.7	11877.3	11860.5	11877.5	0	0
437.192	1049.5	11816	11816.1	11833.9	11816	11834.1	0	0
437.292	1049.4	11559.7	11559.9	11579	11559.7	11579.2	0	0
437.392	1049.3	11809.3	11809.4	11830	11809.3	11830.2	0	0
437.492	1049.2	11758	11758.2	11780.4	11758	11780.5	0	0
437.592	1049.1	11715.7	11715.8	11739.8	11715.7	11740	0	0
437.692	1049	11593.1	11593.3	11619.2	11593.1	11619.4	0	0
437.792	1048.9	11789.2	11789.4	11817.5	11789.2	11817.7	0	0
437.892	1048.8	11898.4	11898.6	11929.1	11898.4	11929.3	0	0
437.992	1048.7	11827.1	11789.4	11822.8	11789.3	11822.9	-0.0257142	-1.87343
438.092	1048.6	11642.2	11789.7	11826.1	11789.5	11826.2	1.14295	82.6171
438.192	1048.5	11967.5	11789.9	11829.8	11789.7	11830	-0.841747	-61.6892
438.292	1048.4	12056.6	11790.3	11834.2	11790.1	11834.4	-1.35562	-99.7187
438.392	1048.3	11931.8	11790.5	11839	11790.3	11839.2	-0.568113	-41.5733
438.492	1048.2	11882.8	11790.6	11844.4	11790.5	11844.6	-0.234822	-17.1485
438.592	1048.1	11738	11790.7	11850.6	11790.6	11850.8	0.69745	50.6216
438.692	1048	11838.2	11790.8	11857.8	11790.6	11858	0.121402	8.84906
438.792	1047.9	12163.5	11791.3	11866.7	11791.2	11866.9	-1.80214	-133.151
438.892	1047.8	12101.2	11791.8	11877.1	11791.6	11877.3	-1.36345	-100.48
438.992	1047.7	11936.3	11792	11889.2	11791.8	11889.4	-0.287356	-21.032
439.092	1047.6	12052.1	11792.4	11904.1	11792.2	11904.3	-0.902218	-66.3544
439.192	1047.5	12014.3	11792.7	11922.2	11792.5	11922.4	-0.561715	-41.2469
439.292	1047.4	12072.2	11793.1	11944.6	11792.9	11944.8	-0.776816	-57.1791
439.392	1047.3	12029.9	11793.5	11972.4	11793.3	11972.6	-0.349756	-25.6993
439.492	1047.2	12219.3	11794.1	12007.7	11793.9	12007.9	-1.28064	-94.8364
439.592	1047.1	12524.5	11795.2	12052.8	11795	12053	-2.82254	-211.616
439.692	1047	12549	11796.3	12110.3	11796.1	12110.5	-2.62273	-196.827
439.792	1046.9	12355.2	11797.1	12183.1	11796.9	12183.3	-1.03577	-77.1282
439.892	1046.8	12651.5	11798.3	12277	11798.1	12277.2	-2.22949	-167.998
439.992	1046.7	12615.9	11799.5	12396.4	11799.3	12396.6	-1.30776	-98.4039
440.092	1046.6	12918.9	11801.2	12548.9	11800.9	12549.1	-2.17969	-165.972
440.192	1046.5	12883.2	11802.7	12740.6	11802.5	12740.8	-0.8406	-63.9187
440.292	1046.4	13132.8	11804.7	12980.8	11804.5	12981	-0.88742	-68.1294
440.392	1046.3	13215.2	11806.7	13276.5	11806.5	13276.7	0.35841	27.6022
440.492	1046.2	14122.1	11810.1	13637.8	11809.9	13638	-2.72907	-217.266
440.592	1046.1	14409.5	11813.9	14069.3	11813.7	14069.5	-1.89778	-152.615
440.692	1046	14590	11817.9	14576.1	11817.7	14576.3	-0.0760097	-6.15068
440.792	1045.9	15242.9	11822.9	15158.9	11822.7	15159.2	-0.454145	-37.5625
440.892	1045.8	15911.3	11828.9	15815.1	11828.7	15815.4	-0.509654	-43.068
440.992	1045.7	16613.2	11835.9	16535	11835.6	16535.2	-0.405398	-35.0054
441.092	1045.6	17306.1	11843.8	17303.9	11843.6	17304.2	-0.0101266	-0.89246
441.192	1045.5	17994.7	11852.8	18100.5	11852.5	18100.7	0.529782	47.6097
441.292	1045.4	18863.6	11863	18898.3	11862.7	18898.6	0.170354	15.6744
441.392	1045.3	19471.9	11874.1	19666	11873.8	19666.2	0.932717	87.1929
441.492	1045.2	19824	11885.7	20369.3	11885.4	20369.6	2.5961	244.874
441.592	1045.1	20706.3	11898.5	20976	11898.2	20976.3	1.25681	121.156
441.692	1045	21334.7	11912.2	21454.6	11912	21454.9	0.5513	53.9458
441.792	1044.9	21455	11926.1	21779.3	11925.9	21779.6	1.4846	145.68
441.892	1044.8	21978.6	11940.8	21933.2	11940.5	21933.4	-0.204161	-20.2768
441.992	1044.7	22041	11955.5	21907.5	11955.2	21907.8	-0.60125	-59.7994
442.092	1044.6	21753.6	11969.8	21704.3	11969.5	21704.5	-0.222714	-22.0059
442.192	1044.5	21726.8	11984	21335.9	11983.7	21336.2	-1.77537	-175.313
442.292	1044.4	21185.4	11997.4	20823.4	11997.1	20823.6	-1.66501	-162.354
442.392	1044.3	20670.7	12010	20194.2	12009.7	20194.4	-2.21905	-213.733
442.492	1044.2	19636.8	12021.1	19480.3	12020.8	19480.6	-0.746642	-70.0929
442.592	1044.1	18745.5	12030.9	18715.6	12030.6	18715.9	-0.145087	-13.3078
442.692	1044	18074.9	12039.7	17933.1	12039.4	17933.4	-0.704776	-63.4768
442.792	1043.9	17081.1	12047.1	17161.9	12046.8	17162.2	0.415485	36.3781
442.892	1043.8	16236.6	12053.2	16426.1	12052.9	16426.4	0.997781	85.1745
442.992	1043.7	15599.4	12058.4	15745.1	12058	15745.4	0.783469	65.5544
443.092	1043.6	14886.4	12062.5	15130.4	12062.2	15130.7	1.34179	109.674
443.192	1043.5	14242.4	12065.7	14589.4	12065.3	14589.7	1.94965	155.874
443.292	1043.4	13712.1	12068.1	14122.7	12067.7	14123.1	2.351	184.43
443.392	1043.3	13288.8	12069.8	13729	12069.5	13729.3	2.56028	197.723
443.492	1043.2	13333.3	12071.7	13402.4	12071.4	13402.7	0.402459	31.1328
443.592	1043.1	13123.9	12073.2	13136.3	12072.9	13136.6	0.0742872	5.70127
443.692	1043	12774.1	12074.2	12921.4	12073.9	12921.7	0.875259	66.2716
443.792	1042.9	12776.3	12075.3	12751	12074.9	12751.3	-0.148054	-11.2111
443.892	1042.8	12696.1	12076.2	12616.3	12075.8	12616.7	-0.471946	-35.6249
443.992	1042.7	12337.3	12076.6	12510.8	12076.2	12511.2	1.04844	78.0156
444.092	1042.6	12228.2	12076.8	12428.2	12076.4	12428.5	1.21377	89.9172
444.192	1042.5	12272.7	12077.1	12364	12076.7	12364.4	0.554128	41.1251
444.292	1042.4	12248.2	12077.3	12313.8	12077	12314.1	0.399006	29.583
444.392	1042.3	12335.1	12077.7	12274.7	12077.3	12275	-0.362433	-26.9666
444.492	1042.2	12379.7	12078.2	12243.8	12077.8	12244.2	-0.815656	-60.7979
444.592	1042.1	12228.2	12078.4	12219.2	12078	12219.6	-0.0518105	-3.83817
444.692	1042	12241.5	12078.6	12199.5	12078.2	12199.9	-0.252267	-18.6984
444.792	1041.9	12241.5	12078.9	12183.5	12078.5	12183.9	-0.348717	-25.8474
444.892	1041.8	12237.1	12079.1	12170.5	12078.7	12170.9	-0.400764	-29.6998
444.992	1041.7	11974.2	12079.3	12159.7	12078.9	12160.1	1.13828	83.4446
445.092	1041.6	12232.6	12079.5	12150.7	12079.1	12151.1	-0.493735	-36.583
445.192	1041.5	12130.1	12079.6	12143	12079.2	12143.4	0.0808502	5.96541
445.292	1041.4	11936.3	12079.8	12136.6	12079.4	12137	1.23079	90.0835
445.392	1041.3	11914	12080.1	12131.1	12079.6	12131.5	1.33523	97.6365
445.492	1041.2	12074.4	12080.1	12126.2	12079.6	12126.6	0.318222	23.4255
445.592	1041.1	12250.4	12250.9	12292.7	12250.4	12293.1	0	0
445.692	1041	12165.8	12166.2	12204.2	12165.8	12204.7	0	0
445.792	1040.9	12163.5	12164	12198.7	12163.5	12199.2	0	0
445.892	1040.8	11947.4	11947.9	11979.6	11947.4	11980.1	0	0
445.992	1040.7	11619.9	11620.4	11649.5	11619.9	11650	0	0
