Labels	2# Normalised	3# Normalised	1# Normalised
Type	Emission Scan	Emission Scan	Emission Scan

350	980.42468	1140.49878	745.46112
351	1114.32874	1357.02136	934.02075
352	1302.21106	1481.20691	1045.9939
353	1426.19836	1635.10583	1211.0968
354	1636.96143	1768.67529	1420.65247
355	1793.42664	1982.99963	1422.00574
356	2001.12439	2076.88208	1645.48169
357	2239.32349	2402.30981	1897.75452
358	2381.2124	2539.51245	2177.74414
359	2589.27783	2757.52954	2204.70264
360	2754.13306	2964.17334	2556.13135
361	2912.46655	3033.19897	2632.03784
362	3106.82593	3440.08594	2973.79517
363	3385.5752	3507.8418	3190.02563
364	3614.91895	3794.69263	3336.78174
365	3873.50952	4139.50146	3642.27539
366	3937.18555	4188.54883	4014.19043
367	4190.30176	4490.09717	4116.1543
368	4453.35742	4755.45654	4357.87891
369	4588.97705	4974.66455	4749.84424
370	4762.89795	5109.17334	5059.53271
371	4994.09375	5418.99658	5471.47754
372	5244.84326	5647.18799	5773.59814
373	5356.55859	5987.60303	5789.9873
374	5598.01953	6146.56006	6088.8457
375	5695.78711	6198.18359	6470.10596
376	5922.08105	6560.36865	6750.62158
377	6043.44727	6603.65771	6805.85059
378	6116.91895	6691.01611	6981.81836
379	6355.35205	6941.69189	6927.83838
380	6513.17041	7072.11963	7006.30176
381	6585.76514	7295.04248	7159.63672
382	6783.67236	7408.05127	6999.27881
383	6921.81348	7490.34766	7049.05859
384	6972.46045	7490.5293	6925.06934
385	7133.55811	7499.23975	6701.03174
386	7125.35059	7419.25928	6580.75879
387	7222.52246	7416.83105	6305.55762
388	7384.98633	7258.92236	6175.09961
389	7404.3418	7129.91162	5730.91748
390	7499.23975	7101.07813	5517.24658
391	7447.38135	6965.5293	5250.30957
392	7480.35498	6719.21094	4977.36035
393	7488.23291	6558.64307	4856.41504
394	7445.33057	6307.34668	4597.23535
395	7427.29443	6103.19141	4325.41602
396	7285.77148	5884.11914	4109.05566
397	7355.50781	5689.75342	3938.48999
398	7220.18359	5406.53711	3710.28296
399	7239.26172	5337.5415	3459.27271
400	7146.55762	5214.43164	3388.17041
401	6969.18896	4968.20313	3327.77881
402	6908.11719	4753.37695	3245.40649
403	6873.70557	4701.70508	3159.14258
404	6859.38184	4515.69678	3014.27515
405	6683.59961	4409.31348	3008.01978
406	6708.78613	4257.89551	3003.13916
407	6484.604	4188.91357	2955.54419
408	6418.40088	4032.30762	2934.27466
409	6408.3335	3936.7124	2978.13159
410	6423.01172	3962.71484	2888.72705
411	6238.81152	3812.13159	2922.10889
412	6220.67725	3777.39917	2860.77905
413	6235.31348	3732.31177	2797.24463
414	6095.28516	3725.41724	2907.48364
415	5998.14746	3707.30786	2929.63647
416	6020.76709	3509.06348	2826.12622
417	5831.31348	3495.06079	2883.60254
418	5970.66211	3431.62598	2928.23071
419	5823.21875	3515.23975	2945.20679
420	5743.34912	3368.82715	2955.29175
421	5771.82422	3467.57495	2964.30151
422	5777.58594	3312.85498	3066.19556
